,SNWD,WTEQ,date,year,month,day
0,9.0,2.7,2017-11-01,2017,11,1
1,12.0,3.0,2017-11-02,2017,11,2
2,16.0,3.4,2017-11-03,2017,11,3
3,18.0,3.7,2017-11-04,2017,11,4
4,21.0,4.0,2017-11-05,2017,11,5
5,23.0,4.2,2017-11-06,2017,11,6
6,22.0,4.2,2017-11-07,2017,11,7
7,19.0,4.2,2017-11-08,2017,11,8
8,19.0,4.2,2017-11-09,2017,11,9
9,23.0,4.6,2017-11-10,2017,11,10
10,21.0,4.6,2017-11-11,2017,11,11
11,20.0,4.6,2017-11-12,2017,11,12
12,19.0,4.6,2017-11-13,2017,11,13
13,19.0,4.8,2017-11-14,2017,11,14
14,24.0,5.4,2017-11-15,2017,11,15
15,22.0,5.4,2017-11-16,2017,11,16
16,27.0,6.1,2017-11-17,2017,11,17
17,26.0,6.3,2017-11-18,2017,11,18
18,25.0,6.2,2017-11-19,2017,11,19
19,25.0,6.3,2017-11-20,2017,11,20
20,30.0,7.0,2017-11-21,2017,11,21
21,34.0,7.5,2017-11-22,2017,11,22
22,23.0,7.3,2017-11-23,2017,11,23
23,20.0,6.9,2017-11-24,2017,11,24
24,20.0,6.8,2017-11-25,2017,11,25
25,20.0,6.9,2017-11-26,2017,11,26
26,19.0,6.9,2017-11-27,2017,11,27
27,19.0,7.0,2017-11-28,2017,11,28
28,23.0,7.3,2017-11-29,2017,11,29
29,28.0,8.0,2017-11-30,2017,11,30
30,27.0,8.3,2017-12-01,2017,12,1
31,27.0,8.6,2017-12-02,2017,12,2
32,30.0,8.8,2017-12-03,2017,12,3
33,33.0,9.1,2017-12-04,2017,12,4
34,31.0,9.1,2017-12-05,2017,12,5
35,30.0,8.9,2017-12-06,2017,12,6
36,30.0,8.8,2017-12-07,2017,12,7
37,29.0,8.7,2017-12-08,2017,12,8
38,29.0,8.6,2017-12-09,2017,12,9
39,29.0,8.6,2017-12-10,2017,12,10
40,29.0,8.5,2017-12-11,2017,12,11
41,28.0,8.5,2017-12-12,2017,12,12
42,28.0,8.5,2017-12-13,2017,12,13
43,28.0,8.5,2017-12-14,2017,12,14
44,28.0,8.6,2017-12-15,2017,12,15
45,29.0,8.8,2017-12-16,2017,12,16
46,29.0,8.8,2017-12-17,2017,12,17
47,34.0,9.6,2017-12-18,2017,12,18
48,43.0,10.6,2017-12-19,2017,12,19
49,50.0,11.9,2017-12-20,2017,12,20
50,49.0,11.9,2017-12-21,2017,12,21
51,57.0,12.4,2017-12-22,2017,12,22
52,56.0,12.4,2017-12-23,2017,12,23
53,54.0,12.4,2017-12-24,2017,12,24
54,52.0,12.4,2017-12-25,2017,12,25
55,50.0,12.4,2017-12-26,2017,12,26
56,48.0,12.4,2017-12-27,2017,12,27
57,50.0,12.5,2017-12-28,2017,12,28
58,60.0,13.6,2017-12-29,2017,12,29
59,60.0,14.3,2017-12-30,2017,12,30
60,60.0,14.5,2017-12-31,2017,12,31
61,59.0,14.5,2018-01-01,2018,1,1
62,58.0,14.5,2018-01-02,2018,1,2
63,56.0,14.5,2018-01-03,2018,1,3
64,57.0,14.6,2018-01-04,2018,1,4
65,56.0,14.6,2018-01-05,2018,1,5
66,58.0,15.0,2018-01-06,2018,1,6
67,59.0,15.2,2018-01-07,2018,1,7
68,63.0,15.8,2018-01-08,2018,1,8
69,66.0,16.2,2018-01-09,2018,1,9
70,72.0,17.3,2018-01-10,2018,1,10
71,84.0,19.1,2018-01-11,2018,1,11
72,75.0,19.3,2018-01-12,2018,1,12
73,75.0,19.7,2018-01-13,2018,1,13
74,75.0,20.1,2018-01-14,2018,1,14
75,74.0,20.1,2018-01-15,2018,1,15
76,73.0,20.1,2018-01-16,2018,1,16
77,72.0,20.2,2018-01-17,2018,1,17
78,72.0,20.3,2018-01-18,2018,1,18
79,75.0,21.3,2018-01-19,2018,1,19
80,73.0,21.4,2018-01-20,2018,1,20
81,77.0,22.0,2018-01-21,2018,1,21
82,76.0,22.0,2018-01-22,2018,1,22
83,79.0,22.4,2018-01-23,2018,1,23
84,78.0,22.7,2018-01-24,2018,1,24
85,84.0,23.5,2018-01-25,2018,1,25
86,83.0,23.5,2018-01-26,2018,1,26
87,83.0,23.9,2018-01-27,2018,1,27
88,87.0,24.4,2018-01-28,2018,1,28
89,90.0,24.9,2018-01-29,2018,1,29
