,SNWD,WTEQ,date,year,month,day
0,21.0,5.8,2009-11-01,2009,11,1
1,21.0,5.8,2009-11-02,2009,11,2
2,21.0,5.8,2009-11-03,2009,11,3
3,21.0,5.7,2009-11-04,2009,11,4
4,20.0,5.7,2009-11-05,2009,11,5
5,20.0,5.7,2009-11-06,2009,11,6
6,21.0,5.9,2009-11-07,2009,11,7
7,22.0,6.0,2009-11-08,2009,11,8
8,25.0,6.5,2009-11-09,2009,11,9
9,24.0,6.5,2009-11-10,2009,11,10
10,24.0,6.5,2009-11-11,2009,11,11
11,24.0,6.5,2009-11-12,2009,11,12
12,24.0,6.5,2009-11-13,2009,11,13
13,26.0,6.6,2009-11-14,2009,11,14
14,27.0,6.7,2009-11-15,2009,11,15
15,27.0,6.8,2009-11-16,2009,11,16
16,26.0,6.8,2009-11-17,2009,11,17
17,27.0,7.1,2009-11-18,2009,11,18
18,27.0,7.1,2009-11-19,2009,11,19
19,27.0,7.3,2009-11-20,2009,11,20
20,27.0,7.3,2009-11-21,2009,11,21
21,27.0,7.3,2009-11-22,2009,11,22
22,29.0,7.5,2009-11-23,2009,11,23
23,30.0,7.6,2009-11-24,2009,11,24
24,30.0,7.8,2009-11-25,2009,11,25
25,29.0,7.9,2009-11-26,2009,11,26
26,31.0,8.4,2009-11-27,2009,11,27
27,38.0,9.5,2009-11-28,2009,11,28
28,37.0,9.6,2009-11-29,2009,11,29
29,37.0,9.6,2009-11-30,2009,11,30
30,37.0,9.7,2009-12-01,2009,12,1
31,37.0,9.7,2009-12-02,2009,12,2
32,37.0,9.7,2009-12-03,2009,12,3
33,37.0,9.7,2009-12-04,2009,12,4
34,37.0,9.7,2009-12-05,2009,12,5
35,40.0,10.0,2009-12-06,2009,12,6
36,39.0,10.0,2009-12-07,2009,12,7
37,39.0,10.0,2009-12-08,2009,12,8
38,38.0,10.0,2009-12-09,2009,12,9
39,38.0,10.0,2009-12-10,2009,12,10
40,38.0,10.0,2009-12-11,2009,12,11
41,38.0,10.0,2009-12-12,2009,12,12
42,44.0,10.5,2009-12-13,2009,12,13
43,48.0,10.7,2009-12-14,2009,12,14
44,50.0,10.9,2009-12-15,2009,12,15
45,48.0,11.3,2009-12-16,2009,12,16
46,49.0,11.9,2009-12-17,2009,12,17
47,49.0,12.2,2009-12-18,2009,12,18
48,48.0,12.3,2009-12-19,2009,12,19
49,50.0,12.8,2009-12-20,2009,12,20
50,56.0,14.0,2009-12-21,2009,12,21
51,59.0,14.8,2009-12-22,2009,12,22
52,59.0,14.9,2009-12-23,2009,12,23
53,59.0,14.9,2009-12-24,2009,12,24
54,57.0,14.9,2009-12-25,2009,12,25
55,57.0,14.9,2009-12-26,2009,12,26
56,57.0,14.9,2009-12-27,2009,12,27
57,56.0,14.9,2009-12-28,2009,12,28
58,55.0,15.0,2009-12-29,2009,12,29
59,58.0,15.2,2009-12-30,2009,12,30
60,62.0,15.4,2009-12-31,2009,12,31
61,63.0,15.6,2010-01-01,2010,1,1
62,66.0,16.3,2010-01-02,2010,1,2
63,65.0,16.8,2010-01-03,2010,1,3
64,69.0,17.4,2010-01-04,2010,1,4
65,74.0,18.0,2010-01-05,2010,1,5
66,75.0,18.3,2010-01-06,2010,1,6
67,73.0,18.3,2010-01-07,2010,1,7
68,71.0,18.3,2010-01-08,2010,1,8
69,70.0,18.3,2010-01-09,2010,1,9
70,69.0,18.3,2010-01-10,2010,1,10
71,70.0,18.5,2010-01-11,2010,1,11
72,68.0,18.5,2010-01-12,2010,1,12
73,68.0,18.8,2010-01-13,2010,1,13
74,71.0,19.5,2010-01-14,2010,1,14
75,71.0,19.7,2010-01-15,2010,1,15
76,72.0,20.0,2010-01-16,2010,1,16
77,75.0,20.6,2010-01-17,2010,1,17
78,74.0,20.6,2010-01-18,2010,1,18
79,73.0,20.7,2010-01-19,2010,1,19
80,73.0,20.7,2010-01-20,2010,1,20
81,72.0,20.6,2010-01-21,2010,1,21
82,72.0,20.6,2010-01-22,2010,1,22
83,71.0,20.5,2010-01-23,2010,1,23
84,70.0,20.5,2010-01-24,2010,1,24
85,70.0,20.5,2010-01-25,2010,1,25
86,72.0,20.6,2010-01-26,2010,1,26
87,71.0,20.6,2010-01-27,2010,1,27
88,70.0,20.6,2010-01-28,2010,1,28
89,70.0,20.6,2010-01-29,2010,1,29
90,69.0,20.6,2010-01-30,2010,1,30
91,71.0,20.8,2010-01-31,2010,1,31
92,72.0,21.0,2010-02-01,2010,2,1
93,71.0,21.1,2010-02-02,2010,2,2
94,74.0,21.5,2010-02-03,2010,2,3
95,73.0,21.5,2010-02-04,2010,2,4
96,73.0,21.6,2010-02-05,2010,2,5
97,73.0,21.7,2010-02-06,2010,2,6
98,73.0,21.7,2010-02-07,2010,2,7
99,72.0,21.8,2010-02-08,2010,2,8
100,72.0,21.8,2010-02-09,2010,2,9
101,72.0,21.8,2010-02-10,2010,2,10
102,74.0,22.0,2010-02-11,2010,2,11
103,75.0,22.4,2010-02-12,2010,2,12
104,82.0,23.3,2010-02-13,2010,2,13
105,80.0,23.4,2010-02-14,2010,2,14
106,81.0,23.6,2010-02-15,2010,2,15
107,80.0,23.7,2010-02-16,2010,2,16
108,81.0,24.0,2010-02-17,2010,2,17
109,80.0,24.1,2010-02-18,2010,2,18
110,79.0,24.1,2010-02-19,2010,2,19
111,79.0,24.1,2010-02-20,2010,2,20
112,78.0,24.1,2010-02-21,2010,2,21
113,78.0,24.1,2010-02-22,2010,2,22
114,77.0,24.2,2010-02-23,2010,2,23
115,77.0,24.3,2010-02-24,2010,2,24
116,77.0,24.3,2010-02-25,2010,2,25
117,77.0,24.4,2010-02-26,2010,2,26
118,76.0,24.5,2010-02-27,2010,2,27
119,77.0,24.7,2010-02-28,2010,2,28
120,76.0,24.7,2010-03-01,2010,3,1
121,76.0,24.7,2010-03-02,2010,3,2
122,76.0,24.7,2010-03-03,2010,3,3
123,75.0,24.7,2010-03-04,2010,3,4
124,75.0,24.7,2010-03-05,2010,3,5
125,75.0,24.7,2010-03-06,2010,3,6
126,74.0,24.8,2010-03-07,2010,3,7
127,74.0,24.8,2010-03-08,2010,3,8
128,76.0,25.0,2010-03-09,2010,3,9
129,80.0,25.6,2010-03-10,2010,3,10
130,80.0,25.7,2010-03-11,2010,3,11
131,79.0,25.7,2010-03-12,2010,3,12
132,78.0,25.9,2010-03-13,2010,3,13
133,78.0,25.9,2010-03-14,2010,3,14
134,78.0,25.9,2010-03-15,2010,3,15
135,78.0,25.9,2010-03-16,2010,3,16
136,77.0,26.0,2010-03-17,2010,3,17
137,78.0,26.1,2010-03-18,2010,3,18
138,77.0,26.2,2010-03-19,2010,3,19
139,77.0,26.3,2010-03-20,2010,3,20
140,77.0,26.3,2010-03-21,2010,3,21
141,79.0,26.7,2010-03-22,2010,3,22
142,82.0,27.3,2010-03-23,2010,3,23
143,82.0,27.3,2010-03-24,2010,3,24
144,80.0,27.5,2010-03-25,2010,3,25
145,83.0,27.8,2010-03-26,2010,3,26
146,82.0,27.8,2010-03-27,2010,3,27
147,81.0,28.0,2010-03-28,2010,3,28
148,83.0,28.3,2010-03-29,2010,3,29
149,87.0,29.0,2010-03-30,2010,3,30
150,88.0,29.2,2010-03-31,2010,3,31
151,92.0,29.8,2010-04-01,2010,4,1
152,90.0,29.9,2010-04-02,2010,4,2
153,91.0,30.2,2010-04-03,2010,4,3
154,92.0,30.4,2010-04-04,2010,4,4
155,91.0,30.5,2010-04-05,2010,4,5
156,92.0,30.6,2010-04-06,2010,4,6
157,94.0,31.0,2010-04-07,2010,4,7
158,94.0,31.4,2010-04-08,2010,4,8
159,95.0,31.6,2010-04-09,2010,4,9
160,96.0,31.8,2010-04-10,2010,4,10
161,94.0,31.8,2010-04-11,2010,4,11
162,94.0,31.9,2010-04-12,2010,4,12
163,93.0,32.0,2010-04-13,2010,4,13
164,93.0,32.1,2010-04-14,2010,4,14
165,93.0,32.1,2010-04-15,2010,4,15
166,91.0,32.3,2010-04-16,2010,4,16
167,88.0,32.3,2010-04-17,2010,4,17
168,86.0,32.3,2010-04-18,2010,4,18
169,85.0,31.9,2010-04-19,2010,4,19
170,82.0,31.7,2010-04-20,2010,4,20
171,80.0,31.2,2010-04-21,2010,4,21
172,77.0,30.5,2010-04-22,2010,4,22
173,76.0,30.0,2010-04-23,2010,4,23
174,74.0,29.6,2010-04-24,2010,4,24
175,75.0,29.7,2010-04-25,2010,4,25
176,74.0,29.9,2010-04-26,2010,4,26
177,73.0,29.7,2010-04-27,2010,4,27
178,73.0,30.1,2010-04-28,2010,4,28
179,96.0,33.4,2010-04-29,2010,4,29
180,96.0,33.7,2010-04-30,2010,4,30
181,94.0,34.0,2010-05-01,2010,5,1
182,97.0,34.4,2010-05-02,2010,5,2
183,94.0,34.6,2010-05-03,2010,5,3
184,102.0,35.8,2010-05-04,2010,5,4
185,111.0,37.3,2010-05-05,2010,5,5
186,109.0,37.4,2010-05-06,2010,5,6
187,107.0,37.4,2010-05-07,2010,5,7
188,107.0,37.8,2010-05-08,2010,5,8
189,113.0,38.4,2010-05-09,2010,5,9
190,108.0,38.5,2010-05-10,2010,5,10
191,105.0,38.4,2010-05-11,2010,5,11
192,103.0,38.3,2010-05-12,2010,5,12
193,101.0,38.2,2010-05-13,2010,5,13
194,97.0,37.8,2010-05-14,2010,5,14
195,94.0,37.4,2010-05-15,2010,5,15
