,SNWD,WTEQ,date,year,month,day
0,9.0,3.0,2015-11-01,2015,11,1
1,9.0,3.0,2015-11-02,2015,11,2
2,9.0,3.0,2015-11-03,2015,11,3
3,9.0,2.8,2015-11-04,2015,11,4
4,8.0,2.8,2015-11-05,2015,11,5
5,12.0,3.2,2015-11-06,2015,11,6
6,12.0,3.3,2015-11-07,2015,11,7
7,12.0,3.5,2015-11-08,2015,11,8
8,16.0,4.2,2015-11-09,2015,11,9
9,19.0,4.4,2015-11-10,2015,11,10
10,18.0,4.5,2015-11-11,2015,11,11
11,20.0,4.8,2015-11-12,2015,11,12
12,20.0,4.9,2015-11-13,2015,11,13
13,20.0,5.3,2015-11-14,2015,11,14
14,21.0,5.8,2015-11-15,2015,11,15
15,20.0,5.8,2015-11-16,2015,11,16
16,21.0,5.9,2015-11-17,2015,11,17
17,30.0,7.8,2015-11-18,2015,11,18
18,29.0,7.7,2015-11-19,2015,11,19
19,28.0,7.7,2015-11-20,2015,11,20
20,28.0,7.7,2015-11-21,2015,11,21
21,28.0,7.7,2015-11-22,2015,11,22
22,28.0,7.7,2015-11-23,2015,11,23
23,27.0,7.7,2015-11-24,2015,11,24
24,32.0,8.1,2015-11-25,2015,11,25
25,32.0,8.1,2015-11-26,2015,11,26
26,31.0,8.1,2015-11-27,2015,11,27
27,31.0,8.1,2015-11-28,2015,11,28
28,30.0,8.1,2015-11-29,2015,11,29
29,30.0,8.1,2015-11-30,2015,11,30
30,30.0,8.1,2015-12-01,2015,12,1
31,29.0,8.1,2015-12-02,2015,12,2
32,29.0,8.2,2015-12-03,2015,12,3
33,29.0,8.2,2015-12-04,2015,12,4
34,30.0,8.5,2015-12-05,2015,12,5
35,30.0,8.5,2015-12-06,2015,12,6
36,32.0,8.8,2015-12-07,2015,12,7
37,37.0,9.6,2015-12-08,2015,12,8
38,36.0,10.3,2015-12-09,2015,12,9
39,36.0,10.6,2015-12-10,2015,12,10
40,37.0,10.9,2015-12-11,2015,12,11
41,36.0,11.0,2015-12-12,2015,12,12
42,40.0,11.4,2015-12-13,2015,12,13
43,39.0,11.4,2015-12-14,2015,12,14
44,38.0,11.5,2015-12-15,2015,12,15
45,41.0,11.8,2015-12-16,2015,12,16
46,44.0,12.0,2015-12-17,2015,12,17
47,44.0,12.0,2015-12-18,2015,12,18
48,44.0,12.4,2015-12-19,2015,12,19
49,47.0,12.6,2015-12-20,2015,12,20
50,48.0,12.7,2015-12-21,2015,12,21
51,50.0,13.0,2015-12-22,2015,12,22
52,54.0,13.3,2015-12-23,2015,12,23
53,59.0,13.6,2015-12-24,2015,12,24
54,65.0,14.5,2015-12-25,2015,12,25
55,64.0,14.5,2015-12-26,2015,12,26
56,61.0,14.6,2015-12-27,2015,12,27
57,59.0,14.7,2015-12-28,2015,12,28
58,59.0,14.8,2015-12-29,2015,12,29
59,58.0,14.8,2015-12-30,2015,12,30
60,56.0,14.8,2015-12-31,2015,12,31
61,55.0,14.8,2016-01-01,2016,1,1
62,54.0,14.8,2016-01-02,2016,1,2
63,52.0,14.8,2016-01-03,2016,1,3
64,52.0,14.9,2016-01-04,2016,1,4
65,52.0,14.9,2016-01-05,2016,1,5
66,52.0,14.9,2016-01-06,2016,1,6
67,51.0,15.0,2016-01-07,2016,1,7
68,53.0,15.2,2016-01-08,2016,1,8
69,52.0,15.2,2016-01-09,2016,1,9
70,52.0,15.2,2016-01-10,2016,1,10
71,51.0,15.2,2016-01-11,2016,1,11
72,52.0,15.3,2016-01-12,2016,1,12
73,53.0,15.6,2016-01-13,2016,1,13
74,57.0,16.5,2016-01-14,2016,1,14
75,64.0,17.8,2016-01-15,2016,1,15
76,63.0,17.8,2016-01-16,2016,1,16
77,64.0,18.1,2016-01-17,2016,1,17
78,65.0,18.4,2016-01-18,2016,1,18
79,65.0,18.6,2016-01-19,2016,1,19
80,65.0,18.9,2016-01-20,2016,1,20
81,70.0,19.7,2016-01-21,2016,1,21
82,70.0,20.0,2016-01-22,2016,1,22
83,70.0,20.4,2016-01-23,2016,1,23
84,71.0,20.8,2016-01-24,2016,1,24
85,75.0,21.5,2016-01-25,2016,1,25
86,73.0,21.5,2016-01-26,2016,1,26
87,74.0,21.6,2016-01-27,2016,1,27
88,73.0,22.1,2016-01-28,2016,1,28
89,76.0,23.2,2016-01-29,2016,1,29
90,78.0,23.8,2016-01-30,2016,1,30
91,78.0,23.9,2016-01-31,2016,1,31
92,78.0,24.0,2016-02-01,2016,2,1
93,77.0,24.0,2016-02-02,2016,2,2
94,76.0,24.0,2016-02-03,2016,2,3
95,79.0,24.2,2016-02-04,2016,2,4
96,78.0,24.3,2016-02-05,2016,2,5
97,78.0,24.5,2016-02-06,2016,2,6
98,78.0,24.7,2016-02-07,2016,2,7
99,77.0,24.8,2016-02-08,2016,2,8
100,76.0,24.9,2016-02-09,2016,2,9
101,75.0,25.0,2016-02-10,2016,2,10
102,74.0,25.0,2016-02-11,2016,2,11
103,74.0,25.0,2016-02-12,2016,2,12
104,75.0,25.7,2016-02-13,2016,2,13
105,78.0,26.5,2016-02-14,2016,2,14
106,79.0,26.9,2016-02-15,2016,2,15
107,83.0,27.5,2016-02-16,2016,2,16
