,SNWD,WTEQ,date,year,month,day
0,18.0,5.9,2016-11-01,2016,11,1
1,20.0,6.3,2016-11-02,2016,11,2
2,20.0,6.3,2016-11-03,2016,11,3
3,20.0,6.3,2016-11-04,2016,11,4
4,20.0,6.3,2016-11-05,2016,11,5
5,20.0,6.2,2016-11-06,2016,11,6
6,20.0,6.4,2016-11-07,2016,11,7
7,20.0,6.4,2016-11-08,2016,11,8
8,20.0,6.4,2016-11-09,2016,11,9
9,19.0,6.5,2016-11-10,2016,11,10
10,19.0,6.5,2016-11-11,2016,11,11
11,19.0,6.5,2016-11-12,2016,11,12
12,19.0,6.5,2016-11-13,2016,11,13
13,18.0,6.5,2016-11-14,2016,11,14
14,23.0,8.4,2016-11-15,2016,11,15
15,24.0,8.7,2016-11-16,2016,11,16
16,35.0,10.3,2016-11-17,2016,11,17
17,33.0,10.3,2016-11-18,2016,11,18
18,33.0,10.3,2016-11-19,2016,11,19
19,33.0,10.4,2016-11-20,2016,11,20
20,37.0,11.0,2016-11-21,2016,11,21
21,40.0,11.6,2016-11-22,2016,11,22
22,39.0,11.7,2016-11-23,2016,11,23
23,40.0,12.1,2016-11-24,2016,11,24
24,40.0,12.2,2016-11-25,2016,11,25
25,41.0,12.5,2016-11-26,2016,11,26
26,40.0,12.5,2016-11-27,2016,11,27
27,41.0,12.7,2016-11-28,2016,11,28
28,40.0,12.9,2016-11-29,2016,11,29
29,40.0,12.9,2016-11-30,2016,11,30
30,46.0,13.7,2016-12-01,2016,12,1
31,46.0,13.8,2016-12-02,2016,12,2
32,48.0,14.2,2016-12-03,2016,12,3
33,48.0,14.3,2016-12-04,2016,12,4
34,61.0,15.7,2016-12-05,2016,12,5
35,64.0,16.2,2016-12-06,2016,12,6
36,59.0,16.2,2016-12-07,2016,12,7
37,56.0,16.2,2016-12-08,2016,12,8
38,54.0,16.2,2016-12-09,2016,12,9
39,57.0,16.4,2016-12-10,2016,12,10
40,58.0,16.5,2016-12-11,2016,12,11
41,64.0,17.1,2016-12-12,2016,12,12
42,64.0,17.1,2016-12-13,2016,12,13
43,63.0,17.1,2016-12-14,2016,12,14
44,61.0,17.1,2016-12-15,2016,12,15
45,60.0,17.0,2016-12-16,2016,12,16
46,59.0,17.0,2016-12-17,2016,12,17
47,58.0,17.0,2016-12-18,2016,12,18
48,58.0,17.0,2016-12-19,2016,12,19
49,65.0,17.4,2016-12-20,2016,12,20
50,65.0,18.0,2016-12-21,2016,12,21
51,65.0,18.1,2016-12-22,2016,12,22
52,64.0,18.1,2016-12-23,2016,12,23
53,67.0,18.5,2016-12-24,2016,12,24
54,67.0,18.7,2016-12-25,2016,12,25
55,67.0,18.7,2016-12-26,2016,12,26
56,71.0,18.9,2016-12-27,2016,12,27
57,75.0,19.4,2016-12-28,2016,12,28
58,72.0,19.4,2016-12-29,2016,12,29
59,76.0,20.3,2016-12-30,2016,12,30
