,SNWD,WTEQ,date,year,month,day
0,8.0,2.1,2012-11-01,2012,11,1
1,9.0,2.7,2012-11-02,2012,11,2
2,8.0,2.5,2012-11-03,2012,11,3
3,8.0,2.5,2012-11-04,2012,11,4
4,6.0,2.2,2012-11-05,2012,11,5
5,5.0,1.7,2012-11-06,2012,11,6
6,4.0,1.6,2012-11-07,2012,11,7
7,4.0,1.4,2012-11-08,2012,11,8
8,7.0,1.5,2012-11-09,2012,11,9
9,7.0,1.6,2012-11-10,2012,11,10
10,6.0,1.8,2012-11-11,2012,11,11
11,7.0,2.0,2012-11-12,2012,11,12
12,6.0,2.2,2012-11-13,2012,11,13
13,9.0,2.4,2012-11-14,2012,11,14
14,10.0,2.6,2012-11-15,2012,11,15
15,10.0,2.6,2012-11-16,2012,11,16
16,9.0,2.6,2012-11-17,2012,11,17
17,9.0,2.5,2012-11-18,2012,11,18
18,10.0,2.7,2012-11-19,2012,11,19
19,11.0,3.0,2012-11-20,2012,11,20
20,13.0,4.0,2012-11-21,2012,11,21
21,18.0,4.4,2012-11-22,2012,11,22
22,18.0,4.6,2012-11-23,2012,11,23
23,23.0,5.2,2012-11-24,2012,11,24
24,24.0,5.6,2012-11-25,2012,11,25
25,24.0,5.6,2012-11-26,2012,11,26
26,23.0,5.6,2012-11-27,2012,11,27
27,23.0,5.6,2012-11-28,2012,11,28
28,21.0,5.6,2012-11-29,2012,11,29
29,22.0,5.7,2012-11-30,2012,11,30
30,22.0,6.2,2012-12-01,2012,12,1
31,25.0,6.5,2012-12-02,2012,12,2
32,27.0,7.0,2012-12-03,2012,12,3
33,28.0,7.3,2012-12-04,2012,12,4
34,28.0,7.4,2012-12-05,2012,12,5
35,33.0,8.2,2012-12-06,2012,12,6
36,37.0,8.7,2012-12-07,2012,12,7
37,42.0,9.4,2012-12-08,2012,12,8
38,42.0,9.5,2012-12-09,2012,12,9
39,46.0,9.7,2012-12-10,2012,12,10
40,43.0,9.7,2012-12-11,2012,12,11
41,46.0,10.2,2012-12-12,2012,12,12
42,47.0,10.5,2012-12-13,2012,12,13
43,45.0,10.5,2012-12-14,2012,12,14
44,45.0,10.6,2012-12-15,2012,12,15
45,44.0,10.6,2012-12-16,2012,12,16
46,45.0,10.8,2012-12-17,2012,12,17
47,48.0,11.4,2012-12-18,2012,12,18
48,48.0,11.6,2012-12-19,2012,12,19
49,51.0,11.7,2012-12-20,2012,12,20
50,50.0,12.0,2012-12-21,2012,12,21
51,50.0,12.3,2012-12-22,2012,12,22
52,53.0,12.9,2012-12-23,2012,12,23
53,55.0,13.1,2012-12-24,2012,12,24
54,54.0,13.1,2012-12-25,2012,12,25
55,51.0,13.2,2012-12-26,2012,12,26
56,51.0,13.2,2012-12-27,2012,12,27
57,52.0,13.3,2012-12-28,2012,12,28
58,50.0,13.3,2012-12-29,2012,12,29
59,53.0,13.6,2012-12-30,2012,12,30
60,52.0,13.6,2012-12-31,2012,12,31
61,51.0,13.6,2013-01-01,2013,1,1
62,50.0,13.6,2013-01-02,2013,1,2
63,49.0,13.6,2013-01-03,2013,1,3
64,47.0,13.6,2013-01-04,2013,1,4
65,48.0,13.7,2013-01-05,2013,1,5
66,47.0,13.7,2013-01-06,2013,1,6
67,49.0,13.9,2013-01-07,2013,1,7
68,57.0,14.8,2013-01-08,2013,1,8
69,60.0,15.3,2013-01-09,2013,1,9
70,63.0,15.7,2013-01-10,2013,1,10
71,64.0,15.8,2013-01-11,2013,1,11
72,62.0,15.8,2013-01-12,2013,1,12
73,63.0,15.9,2013-01-13,2013,1,13
74,63.0,15.9,2013-01-14,2013,1,14
75,64.0,16.0,2013-01-15,2013,1,15
76,62.0,16.0,2013-01-16,2013,1,16
77,60.0,16.0,2013-01-17,2013,1,17
78,59.0,16.0,2013-01-18,2013,1,18
79,57.0,16.0,2013-01-19,2013,1,19
80,55.0,16.1,2013-01-20,2013,1,20
81,54.0,16.1,2013-01-21,2013,1,21
82,54.0,16.1,2013-01-22,2013,1,22
83,54.0,16.1,2013-01-23,2013,1,23
84,54.0,16.4,2013-01-24,2013,1,24
85,55.0,16.5,2013-01-25,2013,1,25
86,58.0,17.3,2013-01-26,2013,1,26
87,60.0,17.6,2013-01-27,2013,1,27
88,69.0,18.5,2013-01-28,2013,1,28
89,76.0,19.0,2013-01-29,2013,1,29
90,74.0,19.1,2013-01-30,2013,1,30
91,72.0,19.2,2013-01-31,2013,1,31
92,76.0,20.0,2013-02-01,2013,2,1
93,74.0,20.2,2013-02-02,2013,2,2
94,73.0,20.2,2013-02-03,2013,2,3
95,72.0,20.2,2013-02-04,2013,2,4
96,71.0,20.2,2013-02-05,2013,2,5
97,70.0,20.3,2013-02-06,2013,2,6
98,69.0,20.3,2013-02-07,2013,2,7
99,70.0,20.5,2013-02-08,2013,2,8
100,69.0,20.5,2013-02-09,2013,2,9
101,70.0,20.6,2013-02-10,2013,2,10
102,70.0,20.6,2013-02-11,2013,2,11
103,69.0,20.6,2013-02-12,2013,2,12
104,69.0,20.8,2013-02-13,2013,2,13
105,70.0,20.9,2013-02-14,2013,2,14
106,69.0,20.9,2013-02-15,2013,2,15
107,68.0,21.0,2013-02-16,2013,2,16
108,71.0,21.5,2013-02-17,2013,2,17
109,73.0,21.8,2013-02-18,2013,2,18
110,72.0,21.9,2013-02-19,2013,2,19
111,74.0,22.1,2013-02-20,2013,2,20
112,76.0,22.4,2013-02-21,2013,2,21
113,78.0,22.6,2013-02-22,2013,2,22
114,80.0,23.1,2013-02-23,2013,2,23
115,88.0,24.0,2013-02-24,2013,2,24
116,86.0,24.2,2013-02-25,2013,2,25
117,89.0,24.8,2013-02-26,2013,2,26
118,88.0,25.0,2013-02-27,2013,2,27
119,88.0,25.1,2013-02-28,2013,2,28
120,86.0,25.2,2013-03-01,2013,3,1
121,86.0,26.3,2013-03-02,2013,3,2
122,85.0,26.7,2013-03-03,2013,3,3
123,95.0,28.1,2013-03-04,2013,3,4
124,92.0,28.1,2013-03-05,2013,3,5
125,90.0,28.3,2013-03-06,2013,3,6
126,92.0,28.6,2013-03-07,2013,3,7
127,94.0,29.2,2013-03-08,2013,3,8
128,92.0,29.2,2013-03-09,2013,3,9
129,91.0,29.2,2013-03-10,2013,3,10
130,90.0,29.2,2013-03-11,2013,3,11
131,90.0,29.3,2013-03-12,2013,3,12
132,92.0,29.9,2013-03-13,2013,3,13
133,92.0,30.5,2013-03-14,2013,3,14
134,89.0,30.6,2013-03-15,2013,3,15
135,90.0,30.7,2013-03-16,2013,3,16
136,93.0,31.3,2013-03-17,2013,3,17
137,103.0,32.3,2013-03-18,2013,3,18
138,100.0,32.3,2013-03-19,2013,3,19
139,98.0,32.5,2013-03-20,2013,3,20
140,100.0,33.1,2013-03-21,2013,3,21
141,107.0,33.7,2013-03-22,2013,3,22
142,108.0,33.9,2013-03-23,2013,3,23
143,104.0,33.9,2013-03-24,2013,3,24
144,102.0,34.0,2013-03-25,2013,3,25
145,101.0,34.0,2013-03-26,2013,3,26
146,99.0,34.0,2013-03-27,2013,3,27
147,97.0,34.0,2013-03-28,2013,3,28
148,96.0,34.2,2013-03-29,2013,3,29
149,95.0,34.3,2013-03-30,2013,3,30
150,94.0,34.4,2013-03-31,2013,3,31
151,93.0,34.5,2013-04-01,2013,4,1
152,91.0,34.6,2013-04-02,2013,4,2
153,90.0,34.6,2013-04-03,2013,4,3
154,89.0,34.3,2013-04-04,2013,4,4
155,87.0,34.6,2013-04-05,2013,4,5
156,87.0,34.2,2013-04-06,2013,4,6
157,89.0,34.7,2013-04-07,2013,4,7
158,96.0,35.3,2013-04-08,2013,4,8
159,94.0,35.3,2013-04-09,2013,4,9
160,93.0,35.4,2013-04-10,2013,4,10
161,95.0,36.0,2013-04-11,2013,4,11
162,95.0,36.1,2013-04-12,2013,4,12
163,98.0,36.6,2013-04-13,2013,4,13
164,106.0,37.7,2013-04-14,2013,4,14
165,103.0,37.7,2013-04-15,2013,4,15
166,102.0,37.7,2013-04-16,2013,4,16
167,101.0,37.7,2013-04-17,2013,4,17
168,99.0,37.8,2013-04-18,2013,4,18
169,101.0,37.9,2013-04-19,2013,4,19
170,101.0,38.4,2013-04-20,2013,4,20
171,102.0,38.9,2013-04-21,2013,4,21
172,103.0,39.0,2013-04-22,2013,4,22
173,101.0,39.1,2013-04-23,2013,4,23
174,101.0,39.0,2013-04-24,2013,4,24
175,99.0,39.0,2013-04-25,2013,4,25
176,97.0,39.0,2013-04-26,2013,4,26
177,95.0,39.0,2013-04-27,2013,4,27
178,95.0,38.3,2013-04-28,2013,4,28
179,93.0,38.2,2013-04-29,2013,4,29
180,94.0,38.3,2013-04-30,2013,4,30
181,95.0,38.1,2013-05-01,2013,5,1
182,94.0,38.2,2013-05-02,2013,5,2
183,93.0,38.3,2013-05-03,2013,5,3
184,91.0,38.0,2013-05-04,2013,5,4
185,89.0,37.8,2013-05-05,2013,5,5
186,87.0,37.3,2013-05-06,2013,5,6
187,85.0,36.5,2013-05-07,2013,5,7
188,82.0,35.3,2013-05-08,2013,5,8
189,80.0,34.3,2013-05-09,2013,5,9
190,77.0,33.1,2013-05-10,2013,5,10
191,75.0,32.2,2013-05-11,2013,5,11
192,72.0,32.0,2013-05-12,2013,5,12
193,69.0,31.8,2013-05-13,2013,5,13
194,69.0,31.6,2013-05-14,2013,5,14
195,69.0,31.5,2013-05-15,2013,5,15
