,SNWD,WTEQ,date,year,month,day
0,8.0,2.1,2013-11-01,2013,11,1
1,8.0,2.1,2013-11-02,2013,11,2
2,13.0,2.7,2013-11-03,2013,11,3
3,33.0,4.7,2013-11-04,2013,11,4
4,34.0,5.0,2013-11-05,2013,11,5
5,35.0,5.3,2013-11-06,2013,11,6
6,32.0,5.3,2013-11-07,2013,11,7
7,33.0,6.0,2013-11-08,2013,11,8
8,29.0,6.0,2013-11-09,2013,11,9
9,30.0,6.0,2013-11-10,2013,11,10
10,37.0,7.0,2013-11-11,2013,11,11
11,35.0,7.0,2013-11-12,2013,11,12
12,33.0,7.0,2013-11-13,2013,11,13
13,31.0,7.1,2013-11-14,2013,11,14
14,30.0,7.1,2013-11-15,2013,11,15
15,36.0,7.7,2013-11-16,2013,11,16
16,43.0,8.4,2013-11-17,2013,11,17
17,45.0,9.0,2013-11-18,2013,11,18
18,45.0,9.4,2013-11-19,2013,11,19
19,46.0,9.9,2013-11-20,2013,11,20
20,45.0,9.8,2013-11-21,2013,11,21
21,44.0,9.8,2013-11-22,2013,11,22
22,43.0,9.8,2013-11-23,2013,11,23
23,42.0,9.7,2013-11-24,2013,11,24
24,41.0,9.7,2013-11-25,2013,11,25
25,40.0,9.7,2013-11-26,2013,11,26
26,39.0,9.7,2013-11-27,2013,11,27
27,39.0,9.7,2013-11-28,2013,11,28
28,38.0,9.7,2013-11-29,2013,11,29
29,39.0,9.8,2013-11-30,2013,11,30
30,43.0,10.3,2013-12-01,2013,12,1
31,48.0,11.4,2013-12-02,2013,12,2
32,58.0,12.5,2013-12-03,2013,12,3
33,55.0,12.6,2013-12-04,2013,12,4
34,53.0,12.6,2013-12-05,2013,12,5
35,53.0,12.6,2013-12-06,2013,12,6
36,52.0,12.6,2013-12-07,2013,12,7
37,51.0,12.6,2013-12-08,2013,12,8
38,51.0,12.6,2013-12-09,2013,12,9
39,51.0,12.6,2013-12-10,2013,12,10
40,51.0,12.6,2013-12-11,2013,12,11
41,50.0,12.6,2013-12-12,2013,12,12
42,52.0,12.8,2013-12-13,2013,12,13
43,52.0,13.0,2013-12-14,2013,12,14
44,52.0,13.2,2013-12-15,2013,12,15
45,50.0,13.3,2013-12-16,2013,12,16
46,50.0,13.4,2013-12-17,2013,12,17
47,49.0,13.4,2013-12-18,2013,12,18
48,52.0,13.5,2013-12-19,2013,12,19
49,51.0,13.5,2013-12-20,2013,12,20
50,63.0,14.0,2013-12-21,2013,12,21
51,60.0,14.0,2013-12-22,2013,12,22
52,59.0,14.0,2013-12-23,2013,12,23
53,61.0,14.9,2013-12-24,2013,12,24
54,58.0,15.0,2013-12-25,2013,12,25
55,57.0,15.0,2013-12-26,2013,12,26
56,56.0,15.0,2013-12-27,2013,12,27
57,56.0,15.1,2013-12-28,2013,12,28
58,55.0,15.1,2013-12-29,2013,12,29
59,55.0,15.2,2013-12-30,2013,12,30
60,55.0,15.4,2013-12-31,2013,12,31
61,55.0,15.4,2014-01-01,2014,1,1
62,54.0,15.4,2014-01-02,2014,1,2
63,61.0,16.6,2014-01-03,2014,1,3
64,69.0,17.7,2014-01-04,2014,1,4
65,68.0,17.8,2014-01-05,2014,1,5
66,66.0,17.8,2014-01-06,2014,1,6
67,65.0,17.8,2014-01-07,2014,1,7
68,65.0,18.0,2014-01-08,2014,1,8
69,66.0,18.4,2014-01-09,2014,1,9
