,name,elev,depth,swe,temp
0,Stahl Peak,6030,50.0,13.5,33.44
1,Poorman Creek,5100,33.0,8.2,35.6
2,Hawkins Lake,6450,50.0,NA,32.0
3,Banfield Mountain,5600,18.0,4.6,34.52
4,Grave Creek,4300,15.0,4.8,40.82
